"symbol","security","date","adj_close","logret_1m"
"A","Agilent Technologies",2016-01-31,34.8245086669922,-0.1048026231909
"A","Agilent Technologies",2016-02-29,34.5470199584961,-0.008000117453828
"A","Agilent Technologies",2016-03-31,36.8594017028809,0.0647894270172031
"A","Agilent Technologies",2016-04-30,37.9586410522461,0.0293864531336303
"A","Agilent Technologies",2016-05-31,42.568977355957,0.114628583271184
"A","Agilent Technologies",2016-06-30,41.258129119873,-0.0312775939677357
"A","Agilent Technologies",2016-07-31,44.745906829834,0.0811518101100024
"A","Agilent Technologies",2016-08-31,43.6949157714844,-0.0237682216166064
"A","Agilent Technologies",2016-09-30,43.9060325622559,0.00481997520602073
"A","Agilent Technologies",2016-10-31,40.6240386962891,-0.0776917491277747
"A","Agilent Technologies",2016-11-30,41.0063018798828,0.00936578177102998
"A","Agilent Technologies",2016-12-31,42.6024703979492,0.0381864828757408
"A","Agilent Technologies",2017-01-31,45.7911262512207,0.0721780802187162
"A","Agilent Technologies",2017-02-28,47.9698600769043,0.0464825762473282
"A","Agilent Technologies",2017-03-31,49.5606422424316,0.0326241169416432
"A","Agilent Technologies",2017-04-30,51.6041870117188,0.0404057972696976
"A","Agilent Technologies",2017-05-31,56.5630569458008,0.0917532551337517
"A","Agilent Technologies",2017-06-30,55.7213668823242,-0.0149923880872649
"A","Agilent Technologies",2017-07-31,56.1723098754883,0.00806024875790179
"A","Agilent Technologies",2017-08-31,60.8040161132812,0.0792319126474776
"A","Agilent Technologies",2017-09-30,60.3154792785645,-0.00806706604138263
"A","Agilent Technologies",2017-10-31,64.0454177856445,0.0600037093318191
"A","Agilent Technologies",2017-11-30,65.1845321655273,0.0176297194866697
"A","Agilent Technologies",2017-12-31,63.1870880126953,-0.031122227379087
"A","Agilent Technologies",2018-01-31,69.2821807861328,0.0920877649352514
"A","Agilent Technologies",2018-02-28,64.7155838012695,-0.0681857066528364
"A","Agilent Technologies",2018-03-31,63.1210441589355,-0.0249478161230723
