"symbol","security","date","adj_close","ret_1m"
"A","Agilent Technologies",2016-01-31,34.8245086669922,-0.0994977566939141
"A","Agilent Technologies",2016-02-29,34.5470199584961,-0.00796820168087842
"A","Agilent Technologies",2016-03-31,36.8594017028809,0.0669343331830878
"A","Agilent Technologies",2016-04-30,37.9586410522461,0.0298224957156403
"A","Agilent Technologies",2016-05-31,42.568977355957,0.121456832381467
"A","Agilent Technologies",2016-06-30,41.258129119873,-0.0307935101452594
"A","Agilent Technologies",2016-07-31,44.745906829834,0.0845355275278576
"A","Agilent Technologies",2016-08-31,43.6949157714844,-0.0234879820928977
"A","Agilent Technologies",2016-09-30,43.9060325622559,0.00483160997209797
"A","Agilent Technologies",2016-10-31,40.6240386962891,-0.0747504084162728
"A","Agilent Technologies",2016-11-30,41.0063018798828,0.00940977795072517
"A","Agilent Technologies",2016-12-31,42.6024703979492,0.0389249565284371
"A","Agilent Technologies",2017-01-31,45.7911262512207,0.0748467359635787
"A","Agilent Technologies",2017-02-28,47.9698600769043,0.0475798261377227
"A","Agilent Technologies",2017-03-31,49.5606422424316,0.0331621181086839
"A","Agilent Technologies",2017-04-30,51.6041870117188,0.0412332180703161
"A","Agilent Technologies",2017-05-31,56.5630569458008,0.0960943330616937
"A","Agilent Technologies",2017-06-30,55.7213668823242,-0.0148805617822791
"A","Agilent Technologies",2017-07-31,56.1723098754883,0.00809282001492151
"A","Agilent Technologies",2017-08-31,60.8040161132812,0.0824553280443625
"A","Agilent Technologies",2017-09-30,60.3154792785645,-0.00803461458543508
"A","Agilent Technologies",2017-10-31,64.0454177856445,0.0618404852567533
"A","Agilent Technologies",2017-11-30,65.1845321655273,0.0177860402705989
"A","Agilent Technologies",2017-12-31,63.1870880126953,-0.0306429161408996
"A","Agilent Technologies",2018-01-31,69.2821807861328,0.096461048691038
"A","Agilent Technologies",2018-02-28,64.7155838012695,-0.0659130086993063
"A","Agilent Technologies",2018-03-31,63.1210441589355,-0.0246391911912677
"A","Agilent Technologies",2018-04-30,62.1650238037109,-0.015145826054737
"A","Agilent Technologies",2018-05-31,58.5527572631836,-0.0581076997884413
"A","Agilent Technologies",2018-06-30,58.477108001709,-0.00129198461371482
"A","Agilent Technologies",2018-07-31,62.5995445251465,0.0704965868578353
"A","Agilent Technologies",2018-08-31,64.0214233398438,0.0227138843498469
"A","Agilent Technologies",2018-09-30,66.8651123046875,0.0444177716847789
"A","Agilent Technologies",2018-10-31,61.544677734375,-0.0795696647613275
"A","Agilent Technologies",2018-11-30,68.7259750366211,0.116684294509435
"A","Agilent Technologies",2018-12-31,64.2394027709961,-0.0652820460274925
"A","Agilent Technologies",2019-01-31,72.4193267822266,0.127334994697735
"A","Agilent Technologies",2019-02-28,75.6474380493164,0.0445752730731281
"A","Agilent Technologies",2019-03-31,76.5425643920898,0.011832870561854
"A","Agilent Technologies",2019-04-30,74.9051666259766,-0.0213919899224397
"A","Agilent Technologies",2019-05-31,63.9794960021973,-0.145860040313833
"A","Agilent Technologies",2019-06-30,71.2505416870117,0.113646498318223
"A","Agilent Technologies",2019-07-31,66.3772201538086,-0.068396975206316
"A","Agilent Technologies",2019-08-31,68.0029373168945,0.0244920947174172
"A","Agilent Technologies",2019-09-30,73.4394226074219,0.0799448598108823
"A","Agilent Technologies",2019-10-31,72.5960388183594,-0.0114840743447957
"A","Agilent Technologies",2019-11-30,77.4070358276367,0.0662707922854415
"A","Agilent Technologies",2019-12-31,81.9306564331055,0.0584393983970857
"A","Agilent Technologies",2020-01-31,79.2896041870117,-0.0322352140343232
"A","Agilent Technologies",2020-02-29,74.0170516967773,-0.0664973995556666
"A","Agilent Technologies",2020-03-31,68.9580078125,-0.0683497081861963
